ID,title,author_ID,genre_code,publishedAt,pages,price,currency_code,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
2f8b61a4-4b2b-4a67-92f6-7f3cc9ad2c2e,"The Silent Forest",8f7cb3c1-9a52-4e63-8b7b-fcf4e2a0d234,"Fiction",2018-04-12,340,49.99,INR,120,A,2025-01-01T09:00:00Z,"SYSTEM",2025-01-01T09:00:00Z,"SYSTEM"
c1d3d9ef-7b71-4c54-9f95-5a8f5e5a2f23,"Midnight at Harbor Point",1b5f3d7e-9b60-4f5c-9c4a-2f6a8d1c3b10,"Hobby",2020-10-06,312,18.99,INR,34,L,2025-01-03T14:22:10Z,"MIA.JOHNSON",2025-01-15T08:11:42Z,"MIA.JOHNSON"
7a4a9f1b-0b4b-4a2a-8a53-1c0d5a8a4e17,"Orbit of Ashes",3e2b2f91-7e53-4b3d-8f5c-0a1c2d3e4f5a,"Science",2016-07-21,428,16.50,INR,0,U,2024-12-20T11:05:33Z,"ALEX.KIM",2025-01-08T19:40:12Z,"ALEX.KIM"
0d9d8d3f-4f1f-4d8f-8f0d-3b1c7b2a6f9c,"The Glass Cartographer",6c1a0f4d-2a6f-4b8c-9d1e-0f2a3b4c5d6e,"Fantasy",2019-02-14,510,22.00,INR,58,A,2025-01-05T09:18:00Z,"SYSTEM",2025-01-22T16:03:09Z,"EDITOR.01"
b6b4c2a1-1f42-4b1e-9c23-0a7c1e3d5f2b,"Practical Data Sketches",9f2d1c3b-4a5e-4b6c-8d7e-1a2b3c4d5e6f,"Non-Fiction",2022-05-09,256,34.95,INR,12,A,2025-01-02T10:30:45Z,"SAM.PATEL",2025-01-02T10:30:45Z,"SAM.PATEL"
4e2f7a1d-8c3b-4f77-9d2a-2b9c4d6e1f8a,"A Life in Footnotes",2a3b4c5d-6e7f-4a8b-9c0d-1e2f3a4b5c6d,"Children",2014-09-30,384,12.99,INR,7,L,2024-11-18T07:55:21Z,"IMPORT",2025-01-10T12:00:00Z,"IMPORT"
9c1f2b3a-6d5e-4f7a-8b9c-0d1e2f3a4b5c,"Letters from Caledon",0a1b2c3d-4e5f-4a6b-8c9d-1e2f3a4b5c6d,"Self-Help",2017-11-03,298,15.75,INR,26,A,2025-01-07T13:44:08Z,"NORA.WILSON",2025-01-21T09:12:19Z,"NORA.WILSON"
3b8a2c1d-5e6f-4a7b-9c0d-1e2f3a4b5c6d,"The Last Safehouse",5d4c3b2a-1f0e-4d9c-8b7a-6f5e4d3c2b1a,"Science",2021-03-18,365,19.25,INR,3,U,2025-01-04T18:09:57Z,"SYSTEM",2025-01-04T18:09:57Z,"SYSTEM"
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,"Summer on Linden Street",7e6d5c4b-3a2f-4b1c-9d8e-7f6a5b4c3d2e,"Children",2015-06-02,272,9.99,INR,41,A,2024-12-28T15:20:00Z,"KAI.BROWN",2025-01-12T10:45:33Z,"KAI.BROWN"
5f6e7d8c-9b0a-4c1d-8e2f-3a4b5c6d7e8f,"The Managerâ€™s Field Guide",8a7b6c5d-4e3f-4a2b-9c1d-0e1f2a3b4c5d,"Business",2023-01-24,220,27.50,INR,18,L,2025-01-06T08:00:00Z,"ADMIN",2025-01-25T17:30:10Z,"ADMIN"