book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
2f8b61a4-4b2b-4a67-92f6-7f3cc9ad2c2e,0a3f9a62-2d1c-4e5b-9e70-6e2b2d9d1f01,1,"Into the Pines",18,2025-01-01T09:05:00Z,"SYSTEM",2025-01-01T09:05:00Z,"SYSTEM"
2f8b61a4-4b2b-4a67-92f6-7f3cc9ad2c2e,1b7c2e4d-9c10-4a6c-8f2b-3c1d9a0e5f22,2,"A Door Without Hinges",22,2025-01-01T09:06:30Z,"SYSTEM",2025-01-01T09:06:30Z,"SYSTEM"
2f8b61a4-4b2b-4a67-92f6-7f3cc9ad2c2e,7d1e4c93-6a52-4f3e-9a2b-7c1d2e3f4a55,3,"The Map in the Bark",20,2025-01-01T09:08:00Z,"SYSTEM",2025-01-12T10:15:00Z,"EDITOR.01"
c1d3d9ef-7b71-4c54-9f95-5a8f5e5a2f23,2c9d7f10-8a33-4d6b-b3a1-0e2f4c6d8a10,1,"Harbor Lights",16,2025-01-03T14:25:00Z,"MIA.JOHNSON",2025-01-03T14:25:00Z,"MIA.JOHNSON"
c1d3d9ef-7b71-4c54-9f95-5a8f5e5a2f23,3d0a1b2c-4e5f-4a6b-8c9d-0e1f2a3b4c01,2,"The Missing Ledger",19,2025-01-03T14:26:30Z,"MIA.JOHNSON",2025-01-15T08:12:10Z,"MIA.JOHNSON"
c1d3d9ef-7b71-4c54-9f95-5a8f5e5a2f23,4e1f2a3b-5c6d-4e7f-8a9b-0c1d2e3f4a02,3,"Footprints on Wet Planks",21,2025-01-03T14:28:00Z,"MIA.JOHNSON",2025-01-20T09:40:00Z,"MIA.JOHNSON"
7a4a9f1b-0b4b-4a2a-8a53-1c0d5a8a4e17,5f2a3b4c-6d7e-4f8a-9b0c-1d2e3f4a5b03,1,"Wake Sequence",14,2024-12-20T11:10:00Z,"ALEX.KIM",2024-12-20T11:10:00Z,"ALEX.KIM"
7a4a9f1b-0b4b-4a2a-8a53-1c0d5a8a4e17,6a3b4c5d-7e8f-4a9b-0c1d-2e3f4a5b6c04,2,"Drift and Debris",17,2024-12-20T11:12:30Z,"ALEX.KIM",2025-01-08T19:41:00Z,"ALEX.KIM"
7a4a9f1b-0b4b-4a2a-8a53-1c0d5a8a4e17,7b4c5d6e-8f9a-4b0c-1d2e-3f4a5b6c7d05,3,"Ashfall Protocol",16,2024-12-20T11:15:00Z,"ALEX.KIM",2025-01-18T10:05:00Z,"EDITOR.01"
7a4a9f1b-0b4b-4a2a-8a53-1c0d5a8a4e17,8c5d6e7f-9a0b-4c1d-2e3f-4a5b6c7d8e06,4,"The Long Burn",15,2024-12-20T11:18:00Z,"ALEX.KIM",2025-01-22T12:30:00Z,"ALEX.KIM"
0d9d8d3f-4f1f-4d8f-8f0d-3b1c7b2a6f9c,9d6e7f8a-0b1c-4d2e-3f4a-5b6c7d8e9f07,1,"Ink and Glass",24,2025-01-05T09:20:00Z,"SYSTEM",2025-01-05T09:20:00Z,"SYSTEM"
0d9d8d3f-4f1f-4d8f-8f0d-3b1c7b2a6f9c,ae7f8a9b-1c2d-4e3f-4a5b-6c7d8e9f0a08,2,"Compasswork",26,2025-01-05T09:22:30Z,"SYSTEM",2025-01-22T16:04:00Z,"EDITOR.01"
0d9d8d3f-4f1f-4d8f-8f0d-3b1c7b2a6f9c,bf8a9b0c-2d3e-4f4a-5b6c-7d8e9f0a1b09,3,"The City Under Vellum",28,2025-01-05T09:25:00Z,"SYSTEM",2025-01-30T11:10:00Z,"EDITOR.01"
b6b4c2a1-1f42-4b1e-9c23-0a7c1e3d5f2b,c09b0c1d-3e4f-4a5b-6c7d-8e9f0a1b2c10,1,"Sketching the Problem",20,2025-01-02T10:32:00Z,"SAM.PATEL",2025-01-02T10:32:00Z,"SAM.PATEL"
b6b4c2a1-1f42-4b1e-9c23-0a7c1e3d5f2b,d1ac1d2e-4f5a-4b6c-7d8e-9f0a1b2c3d11,2,"From Data to Shapes",18,2025-01-02T10:35:00Z,"SAM.PATEL",2025-01-10T09:00:00Z,"SAM.PATEL"
b6b4c2a1-1f42-4b1e-9c23-0a7c1e3d5f2b,e2bd2e3f-5a6b-4c7d-8e9f-0a1b2c3d4e12,3,"Annotation and Story",22,2025-01-02T10:38:00Z,"SAM.PATEL",2025-01-18T15:20:00Z,"EDITOR.01"
4e2f7a1d-8c3b-4f77-9d2a-2b9c4d6e1f8a,f3ce3f4a-6b7c-4d8e-9f0a-1b2c3d4e5f13,1,"Beginnings",17,2024-11-18T08:00:00Z,"IMPORT",2024-11-18T08:00:00Z,"IMPORT"
4e2f7a1d-8c3b-4f77-9d2a-2b9c4d6e1f8a,04df4a5b-7c8d-4e9f-0a1b-2c3d4e5f6a14,2,"Margins and Memos",19,2024-11-18T08:03:00Z,"IMPORT",2025-01-10T12:02:00Z,"IMPORT"
4e2f7a1d-8c3b-4f77-9d2a-2b9c4d6e1f8a,15e05b6c-8d9e-4f0a-1b2c-3d4e5f6a7b15,3,"Citations",16,2024-11-18T08:06:00Z,"IMPORT",2025-01-10T12:04:00Z,"IMPORT"
9c1f2b3a-6d5e-4f7a-8b9c-0d1e2f3a4b5c,26f16c7d-9e0a-4a1b-2c3d-4e5f6a7b8c16,1,"A Shipâ€™s Log",14,2025-01-07T13:50:00Z,"NORA.WILSON",2025-01-07T13:50:00Z,"NORA.WILSON"
9c1f2b3a-6d5e-4f7a-8b9c-0d1e2f3a4b5c,37g27d8e-0a1b-4b2c-3d4e-5f6a7b8c9d17,2,"The Old Road North",15,2025-01-07T13:52:00Z,"NORA.WILSON",2025-01-21T09:13:00Z,"NORA.WILSON"
9c1f2b3a-6d5e-4f7a-8b9c-0d1e2f3a4b5c,48h38e9f-1b2c-4c3d-4e5f-6a7b8c9d0e18,3,"Winter Dispatches",13,2025-01-07T13:55:00Z,"NORA.WILSON",2025-01-25T10:40:00Z,"EDITOR.01"
3b8a2c1d-5e6f-4a7b-9c0d-1e2f3a4b5c6d,59i49f0a-2c3d-4d4e-5f6a-7b8c9d0e1f19,1,"The Call",12,2025-01-04T18:15:00Z,"SYSTEM",2025-01-04T18:15:00Z,"SYSTEM"
3b8a2c1d-5e6f-4a7b-9c0d-1e2f3a4b5c6d,6aj5a01b-3d4e-4e5f-6a7b-8c9d0e1f2a20,2,"False Bottom",14,2025-01-04T18:17:00Z,"SYSTEM",2025-01-14T09:00:00Z,"EDITOR.01"
3b8a2c1d-5e6f-4a7b-9c0d-1e2f3a4b5c6d,7bk6b12c-4e5f-4f6a-7b8c-9d0e1f2a3b21,3,"Night Passage",15,2025-01-04T18:20:00Z,"SYSTEM",2025-01-22T10:10:00Z,"SYSTEM"
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,8cl7c23d-5f6a-4a7b-8c9d-0e1f2a3b4c22,1,"Linden Street",20,2024-12-28T15:25:00Z,"KAI.BROWN",2024-12-28T15:25:00Z,"KAI.BROWN"
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,9dm8d34e-6a7b-4b8c-9d0e-1f2a3b4c5d23,2,"Ice Cream and Dusk",18,2024-12-28T15:28:00Z,"KAI.BROWN",2025-01-12T10:46:00Z,"KAI.BROWN"
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,adn9e45f-7b8c-4c9d-0e1f-2a3b4c5d6e24,3,"Fireflies",16,2024-12-28T15:31:00Z,"KAI.BROWN",2025-01-16T09:10:00Z,"EDITOR.01"
5f6e7d8c-9b0a-4c1d-8e2f-3a4b5c6d7e8f,beo0f56a-8c9d-4d0e-1f2a-3b4c5d6e7f25,1,"The First 90 Days",15,2025-01-06T08:05:00Z,"ADMIN",2025-01-06T08:05:00Z,"ADMIN"
5f6e7d8c-9b0a-4c1d-8e2f-3a4b5c6d7e8f,cfp1g67b-9d0e-4e1f-2a3b-4c5d6e7f8a26,2,"Coaching Moments",14,2025-01-06T08:07:00Z,"ADMIN",2025-01-25T17:31:00Z,"ADMIN"
5f6e7d8c-9b0a-4c1d-8e2f-3a4b5c6d7e8f,dgq2h78c-0e1f-4f2a-3b4c-5d6e7f8a9b27,3,"Operating Rhythms",16,2025-01-06T08:10:00Z,"ADMIN",2025-01-25T17:32:00Z,"ADMIN"
2f8b61a4-4b2b-4a67-92f6-7f3cc9ad2c2e,eh03i89d-1f2a-4a3b-4c5d-6e7f8a9b0c28,4,"The Listening Hollow",19,2025-01-10T10:00:00Z,"SYSTEM",2025-01-28T09:30:00Z,"EDITOR.01"
c1d3d9ef-7b71-4c54-9f95-5a8f5e5a2f23,fi14j90e-2a3b-4b4c-5d6e-7f8a9b0c1d29,4,"Salt on the Rope",18,2025-01-12T11:05:00Z,"MIA.JOHNSON",2025-01-29T08:20:00Z,"MIA.JOHNSON"
7a4a9f1b-0b4b-4a2a-8a53-1c0d5a8a4e17,gj25k01f-3b4c-4c5d-6e7f-8a9b0c1d2e30,5,"Signal in the Dust",15,2025-01-14T09:45:00Z,"ALEX.KIM",2025-01-30T10:10:00Z,"ALEX.KIM"
0d9d8d3f-4f1f-4d8f-8f0d-3b1c7b2a6f9c,hk36l12a-4c5d-4d6e-7f8a-9b0c1d2e3f31,4,"The Unfolding Atlas",27,2025-01-16T13:10:00Z,"SYSTEM",2025-01-31T12:00:00Z,"EDITOR.01"
b6b4c2a1-1f42-4b1e-9c23-0a7c1e3d5f2b,il47m23b-5d6e-4e7f-8a9b-0c1d2e3f4a32,4,"Templates That Teach",19,2025-01-18T08:20:00Z,"SAM.PATEL",2025-02-01T09:00:00Z,"SAM.PATEL"